# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.232049425833269396e+01 1.399999999999999911e+00 -1.727703126542599332e-01
1.198808138999999962e+01 1.230865058311162130e+01 1.399999999999999911e+00 -1.727708345220894670e-01
1.197616277999999923e+01 1.229680705269412577e+01 1.399999999999999911e+00 -1.727713576056468803e-01
1.196424417000000062e+01 1.228496366749900304e+01 1.399999999999999911e+00 -1.727718818988690785e-01
1.195232556000000024e+01 1.227312042794666702e+01 1.399999999999999911e+00 -1.727724073955732853e-01
1.194040694999999985e+01 1.226127733445914814e+01 1.399999999999999911e+00 -1.727729340894589849e-01
1.192848833999999947e+01 1.224943438746010749e+01 1.399999999999999911e+00 -1.727734619741045363e-01
1.191656973000000086e+01 1.223759158737483865e+01 1.399999999999999911e+00 -1.727739910429671177e-01
1.190465112000000047e+01 1.222574893463027479e+01 1.399999999999999911e+00 -1.727745212893825322e-01
1.189273250999999831e+01 1.221390642965500106e+01 1.399999999999999689e+00 -1.727750527065596842e-01
1.188081389999999971e+01 1.220206407287926886e+01 1.399999999999999911e+00 -1.727755852875847153e-01
1.186889529000000110e+01 1.219022186473498692e+01 1.399999999999999911e+00 -1.727761190254147594e-01
1.185697667999999894e+01 1.217837980565573552e+01 1.399999999999999911e+00 -1.727766539128828271e-01
1.184505806999999855e+01 1.216653789607678959e+01 1.399999999999999911e+00 -1.727771899426897018e-01
1.183313945999999994e+01 1.215469613643510627e+01 1.399999999999999689e+00 -1.727777271074061871e-01
1.182122085000000133e+01 1.214285452716934621e+01 1.399999999999999911e+00 -1.727782653994708317e-01
1.180930223999999917e+01 1.213101306871986651e+01 1.399999999999999911e+00 -1.727788048111915942e-01
1.179738362999999879e+01 1.211917176152875797e+01 1.399999999999999911e+00 -1.727793453347392649e-01
1.178546502000000018e+01 1.210733060603982203e+01 1.399999999999999911e+00 -1.727798869621492983e-01
1.177354640999999980e+01 1.209548960269859386e+01 1.399999999999999689e+00 -1.727804296853208410e-01
1.176162779999999941e+01 1.208364875195235122e+01 1.399999999999999911e+00 -1.727809734960142340e-01
