# r12 r13 r23 energy
1.200000000000000000e+01 1.105446571083976082e+01 1.399999999999999911e+00 -1.728675228023037747e-01
1.198808138999999962e+01 1.104259503963020528e+01 1.399999999999999911e+00 -1.728684892324233169e-01
1.197616277999999923e+01 1.103072447180727522e+01 1.399999999999999911e+00 -1.728694589713968832e-01
1.196424417000000062e+01 1.101885400770510692e+01 1.399999999999999911e+00 -1.728704320284409068e-01
1.195232556000000024e+01 1.100698364765926662e+01 1.399999999999999911e+00 -1.728714084126992678e-01
1.194040694999999985e+01 1.099511339200677540e+01 1.399999999999999911e+00 -1.728723881328516898e-01
1.192848833999999947e+01 1.098324324108610917e+01 1.399999999999999911e+00 -1.728733711832909359e-01
1.191656973000000086e+01 1.097137319523719867e+01 1.399999999999999911e+00 -1.728743575401477384e-01
1.190465112000000047e+01 1.095950325480145082e+01 1.399999999999999911e+00 -1.728753471778263495e-01
1.189273250999999831e+01 1.094763342012174334e+01 1.399999999999999689e+00 -1.728763400701285868e-01
1.188081389999999971e+01 1.093576369154244787e+01 1.399999999999999911e+00 -1.728773361902447014e-01
1.186889529000000110e+01 1.092389406940942465e+01 1.399999999999999911e+00 -1.728783355107447461e-01
1.185697667999999894e+01 1.091202455407003313e+01 1.399999999999999911e+00 -1.728793380035689997e-01
1.184505806999999855e+01 1.090015514587314804e+01 1.399999999999999911e+00 -1.728803436400188909e-01
1.183313945999999994e+01 1.088828584516916287e+01 1.399999999999999689e+00 -1.728813523907475891e-01
1.182122085000000133e+01 1.087641665230999344e+01 1.399999999999999911e+00 -1.728823642257501514e-01
1.180930223999999917e+01 1.086454756764908502e+01 1.399999999999999911e+00 -1.728833791143543075e-01
1.179738362999999879e+01 1.085267859154144077e+01 1.399999999999999911e+00 -1.728843970252102458e-01
1.178546502000000018e+01 1.084080972434360390e+01 1.399999999999999911e+00 -1.728854179262807322e-01
1.177354640999999980e+01 1.082894096641367909e+01 1.399999999999999689e+00 -1.728864417848311741e-01
1.176162779999999941e+01 1.081707231811134129e+01 1.399999999999999911e+00 -1.728874685674191003e-01
1.174970918999999903e+01 1.080520377979783930e+01 1.399999999999999911e+00 -1.728884982398840586e-01
1.173779057999999864e+01 1.079333535183601711e+01 1.399999999999999911e+00 -1.728895307673369020e-01
1.172587197000000003e+01 1.078146703459029965e+01 1.399999999999999911e+00 -1.728905661141490746e-01
1.171395335999999965e+01 1.076959882842672300e+01 1.399999999999999689e+00 -1.728916042439420098e-01
1.170203474999999926e+01 1.075773073371293442e+01 1.399999999999999911e+00 -1.728926451195758052e-01
1.169011613999999888e+01 1.074586275081819764e+01 1.399999999999999911e+00 -1.728936887031384817e-01
1.167819753000000027e+01 1.073399488011341241e+01 1.399999999999999911e+00 -1.728947349559343816e-01
1.166627891999999989e+01 1.072212712197111095e+01 1.399999999999999911e+00 -1.728957838384728440e-01
1.165436030999999772e+01 1.071025947676547574e+01 1.399999999999999689e+00 -1.728968353104566036e-01
1.164244169999999912e+01 1.069839194487234835e+01 1.399999999999999911e+00 -1.728978893307698828e-01
1.163052309000000051e+01 1.068652452666923658e+01 1.399999999999999911e+00 -1.728989458574667903e-01
1.161860448000000012e+01 1.067465722253531446e+01 1.399999999999999689e+00 -1.729000048477588036e-01
1.160668586999999796e+01 1.066279003285144711e+01 1.399999999999999911e+00 -1.729010662580026392e-01
1.159476725999999935e+01 1.065092295800020139e+01 1.399999999999999689e+00 -1.729021300436880682e-01
1.158284865000000075e+01 1.063905599836583171e+01 1.399999999999999911e+00 -1.729031961594248157e-01
1.157093004000000036e+01 1.062718915433431377e+01 1.399999999999999911e+00 -1.729042645589301541e-01
1.155901142999999998e+01 1.061532242629334277e+01 1.399999999999999911e+00 -1.729053351950157191e-01
1.154709282000000137e+01 1.060345581463234943e+01 1.400000000000000133e+00 -1.729064080195744091e-01
1.153517421000000098e+01 1.059158931974250351e+01 1.399999999999999911e+00 -1.729074829835669513e-01
1.152325560000000060e+01 1.057972294201672270e+01 1.399999999999999911e+00 -1.729085600370085241e-01
1.151133699000000021e+01 1.056785668184969040e+01 1.399999999999999911e+00 -1.729096391289548229e-01
