# r12 r13 r23 energy
1.200000000000000000e+01 1.208139064843116550e+01 1.399999999999999911e+00 -1.727749411691163195e-01
1.198808138999999962e+01 1.206955241147178270e+01 1.399999999999999911e+00 -1.727754665838532877e-01
1.197616277999999923e+01 1.205771433286828653e+01 1.399999999999999911e+00 -1.727759930901341112e-01
1.196424417000000062e+01 1.204587641308755153e+01 1.399999999999999911e+00 -1.727765206798278497e-01
1.195232556000000024e+01 1.203403865259827654e+01 1.399999999999999911e+00 -1.727770493446593725e-01
1.194040694999999985e+01 1.202220105187100430e+01 1.399999999999999911e+00 -1.727775790762076102e-01
1.192848833999999947e+01 1.201036361137813024e+01 1.399999999999999911e+00 -1.727781098659040560e-01
1.191656973000000086e+01 1.199852633159390436e+01 1.399999999999999911e+00 -1.727786417050296286e-01
1.190465112000000047e+01 1.198668921299444001e+01 1.399999999999999911e+00 -1.727791745834061365e-01
1.189273250999999831e+01 1.197485225605772818e+01 1.399999999999999689e+00 -1.727797084870525968e-01
1.188081389999999971e+01 1.196301546126365167e+01 1.399999999999999911e+00 -1.727802434011402322e-01
1.186889529000000110e+01 1.195117882909398332e+01 1.399999999999999911e+00 -1.727807793106073408e-01
1.185697667999999894e+01 1.193934236003238958e+01 1.399999999999999911e+00 -1.727813162001564928e-01
1.184505806999999855e+01 1.192750605456447133e+01 1.399999999999999911e+00 -1.727818540542514492e-01
1.183313945999999994e+01 1.191566991317773549e+01 1.399999999999999689e+00 -1.727823928571150525e-01
1.182122085000000133e+01 1.190383393636162879e+01 1.399999999999999911e+00 -1.727829325927265625e-01
1.180930223999999917e+01 1.189199812460752881e+01 1.399999999999999911e+00 -1.727834732448186306e-01
1.179738362999999879e+01 1.188016247840878492e+01 1.399999999999999911e+00 -1.727840147968748297e-01
1.178546502000000018e+01 1.186832699826069160e+01 1.399999999999999911e+00 -1.727845572321269063e-01
1.177354640999999980e+01 1.185649168466051329e+01 1.399999999999999689e+00 -1.727851005335518109e-01
1.176162779999999941e+01 1.184465653810750396e+01 1.399999999999999911e+00 -1.727856446838692273e-01
1.174970918999999903e+01 1.183282155910290179e+01 1.399999999999999911e+00 -1.727861896655384366e-01
1.173779057999999864e+01 1.182098674814994865e+01 1.399999999999999911e+00 -1.727867354607555972e-01
1.172587197000000003e+01 1.180915210575389729e+01 1.399999999999999911e+00 -1.727872820514507468e-01
1.171395335999999965e+01 1.179731763242201126e+01 1.399999999999999689e+00 -1.727878294192851383e-01
1.170203474999999926e+01 1.178548332866359694e+01 1.399999999999999911e+00 -1.727883775456477700e-01
1.169011613999999888e+01 1.177364919498999285e+01 1.399999999999999911e+00 -1.727889264116530821e-01
1.167819753000000027e+01 1.176181523191459277e+01 1.399999999999999911e+00 -1.727894759981374040e-01
1.166627891999999989e+01 1.174998143995284750e+01 1.399999999999999911e+00 -1.727900262856560676e-01
1.165436030999999772e+01 1.173814781962227904e+01 1.399999999999999689e+00 -1.727905772544803820e-01
1.164244169999999912e+01 1.172631437144249844e+01 1.399999999999999911e+00 -1.727911288845943860e-01
1.163052309000000051e+01 1.171448109593520037e+01 1.399999999999999911e+00 -1.727916811556917676e-01
1.161860448000000012e+01 1.170264799362418096e+01 1.399999999999999689e+00 -1.727922340471728657e-01
1.160668586999999796e+01 1.169081506503535550e+01 1.399999999999999911e+00 -1.727927875381409240e-01
1.159476725999999935e+01 1.167898231069676385e+01 1.399999999999999689e+00 -1.727933416073995088e-01
1.158284865000000075e+01 1.166714973113857212e+01 1.399999999999999911e+00 -1.727938962334485684e-01
