# r(a0)  E(Hartree)  E_shifted(Hartree)  # target=PH1 type=GS L=30.0 asymptote=global
5.000000000000000000e-01 6.314969983806160148e-01 6.314969983806161258e-01
5.390000000000000346e-01 6.176271292964824466e-01 6.176271292964824466e-01
5.779999999999999583e-01 6.037572602138940869e-01 6.037572602138940869e-01
6.169999999999999929e-01 5.898873911327086050e-01 5.898873911327086050e-01
6.560000000000000275e-01 5.760175220525506345e-01 5.760175220525506345e-01
6.950000000000000622e-01 5.621476529729727556e-01 5.621476529729727556e-01
7.339999999999999858e-01 5.482777838935728454e-01 5.482777838935728454e-01
7.730000000000000204e-01 5.344079148140568059e-01 5.344079148140568059e-01
8.120000000000000551e-01 5.205380457342521083e-01 5.205380457342522194e-01
8.509999999999999787e-01 5.066681766540921394e-01 5.066681766540922505e-01
8.900000000000000133e-01 4.927983075735830054e-01 4.927983075735830054e-01
9.290000000000000480e-01 4.789284384927710025e-01 4.789284384927710025e-01
9.679999999999999716e-01 4.650585694117159719e-01 4.650585694117159719e-01
1.007000000000000117e+00 4.511887003304727584e-01 4.511887003304727584e-01
1.046000000000000041e+00 4.373188312490838836e-01 4.373188312490838836e-01
1.084999999999999964e+00 4.234489621675775473e-01 4.234489621675775473e-01
1.124000000000000110e+00 4.095790930859700696e-01 4.095790930859700696e-01
1.163000000000000034e+00 3.957092240042709985e-01 3.957092240042709985e-01
1.201999999999999957e+00 3.818393549224861627e-01 3.818393549224862182e-01
1.241000000000000103e+00 3.679694858406205027e-01 3.679694858406205027e-01
1.280000000000000027e+00 3.540996167586791810e-01 3.540996167586791810e-01
1.318999999999999950e+00 3.402297476766672490e-01 3.402297476766672490e-01
1.358000000000000096e+00 3.263598785945884817e-01 3.263598785945884817e-01
1.397000000000000020e+00 3.124900095124443222e-01 3.124900095124443222e-01
1.435999999999999943e+00 2.986201404302327722e-01 2.986201404302327722e-01
1.475000000000000089e+00 2.847502713479483916e-01 2.847502713479483916e-01
1.514000000000000012e+00 2.708804022655829091e-01 2.708804022655829091e-01
1.552999999999999936e+00 2.570105331831263329e-01 2.570105331831263329e-01
1.592000000000000082e+00 2.431406641005690317e-01 2.431406641005690594e-01
1.631000000000000005e+00 2.292707950179035670e-01 2.292707950179035947e-01
1.669999999999999929e+00 2.154009259351268857e-01 2.154009259351268857e-01
1.709000000000000075e+00 2.015310568522417911e-01 2.015310568522418189e-01
1.747999999999999998e+00 1.876611877692582753e-01 1.876611877692582753e-01
1.786999999999999922e+00 1.737913186861937409e-01 1.737913186861937409e-01
1.826000000000000068e+00 1.599214496030729460e-01 1.599214496030729460e-01
1.864999999999999991e+00 1.460515805199268935e-01 1.460515805199268935e-01
1.903999999999999915e+00 1.321817114367914991e-01 1.321817114367914991e-01
1.943000000000000060e+00 1.183118423537056069e-01 1.183118423537056207e-01
1.981999999999999984e+00 1.044419732707088933e-01 1.044419732707088933e-01
2.020999999999999908e+00 9.059633672418851424e-02 9.059633672418851424e-02
2.060000000000000053e+00 7.723106486317168895e-02 7.723106486317168895e-02
2.099000000000000199e+00 6.505871044096663003e-02 6.505871044096664391e-02
2.137999999999999901e+00 5.450106310183583380e-02 5.450106310183584768e-02
2.177000000000000046e+00 4.536977072146822221e-02 4.536977072146823609e-02
2.216000000000000192e+00 3.737843516303641922e-02 3.737843516303643310e-02
2.254999999999999893e+00 3.036268224621269107e-02 3.036268224621270495e-02
2.294000000000000039e+00 2.426860571506385400e-02 2.426860571506386788e-02
2.333000000000000185e+00 1.904429345374276938e-02 1.904429345374278326e-02
2.371999999999999886e+00 1.461226313311493608e-02 1.461226313311494995e-02
2.411000000000000032e+00 1.089284890980790621e-02 1.089284890980792009e-02
2.450000000000000178e+00 7.817674139674463119e-03 7.817674139674476996e-03
2.488999999999999879e+00 5.329511672311174064e-03 5.329511672311187942e-03
2.528000000000000025e+00 3.377016209605246400e-03 3.377016209605260277e-03
2.567000000000000171e+00 1.911158233982024335e-03 1.911158233982024335e-03
2.605999999999999872e+00 8.865448379550000535e-04 8.865448379550000535e-04
2.645000000000000018e+00 2.621199954427888557e-04 2.621199954427888557e-04
2.684000000000000163e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.722999999999999865e+00 6.612042727807687648e-05 6.612042727807687648e-05
2.762000000000000011e+00 4.288350835699450414e-04 4.288350835699450414e-04
2.801000000000000156e+00 1.059015181300970720e-03 1.059015181300970720e-03
2.839999999999999858e+00 1.930341525476331199e-03 1.930341525476331199e-03
2.879000000000000004e+00 3.018099186478467866e-03 3.018099186478481744e-03
2.918000000000000149e+00 4.300026582729057911e-03 4.300026582729071789e-03
2.956999999999999851e+00 5.755555077724502921e-03 5.755555077724516799e-03
2.995999999999999996e+00 7.365604188189267543e-03 7.365604188189281420e-03
3.035000000000000142e+00 9.113024807093750290e-03 9.113024807093764168e-03
3.073999999999999844e+00 1.098151368053928989e-02 1.098151368053930377e-02
3.112999999999999989e+00 1.295631497906879481e-02 1.295631497906880869e-02
3.152000000000000135e+00 1.502404842831152332e-02 1.502404842831153720e-02
3.190999999999999837e+00 1.717237906511666357e-02 1.717237906511667744e-02
3.229999999999999982e+00 1.939023749021492882e-02 1.939023749021494269e-02
3.269000000000000128e+00 2.166651622250684306e-02 2.166651622250685694e-02
3.307999999999999829e+00 2.399086087379390109e-02 2.399086087379391496e-02
3.346999999999999975e+00 2.635424134992901679e-02 2.635424134992903067e-02
3.386000000000000121e+00 2.874879176950777271e-02 2.874879176950778659e-02
3.424999999999999822e+00 3.116758369758307334e-02 3.116758369758308722e-02
