# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.159603911619211125e+01 1.399999999999999911e+00 -1.727867190308307321e-01
1.198808138999999962e+01 1.158419753503379646e+01 1.399999999999999911e+00 -1.727872725785384034e-01
1.197616277999999923e+01 1.157235611202996672e+01 1.399999999999999911e+00 -1.727878270450013964e-01
1.196424417000000062e+01 1.156051484766661375e+01 1.399999999999999911e+00 -1.727883824137140534e-01
1.195232556000000024e+01 1.154867374243171874e+01 1.399999999999999911e+00 -1.727889386679232753e-01
1.194040694999999985e+01 1.153683279681525242e+01 1.399999999999999911e+00 -1.727894957906281337e-01
1.192848833999999947e+01 1.152499201130920170e+01 1.399999999999999911e+00 -1.727900537645823131e-01
1.191656973000000086e+01 1.151315138640756786e+01 1.399999999999999911e+00 -1.727906125722805386e-01
1.190465112000000047e+01 1.150131092260637544e+01 1.399999999999999911e+00 -1.727911721959649871e-01
1.189273250999999831e+01 1.148947062040369005e+01 1.399999999999999689e+00 -1.727917326207121518e-01
1.188081389999999971e+01 1.147763048029963073e+01 1.399999999999999911e+00 -1.727922938487460591e-01
1.186889529000000110e+01 1.146579050279636824e+01 1.399999999999999911e+00 -1.727928558883653209e-01
1.185697667999999894e+01 1.145395068839814101e+01 1.399999999999999911e+00 -1.727934187479970574e-01
1.184505806999999855e+01 1.144211103761127468e+01 1.399999999999999911e+00 -1.727939824361887367e-01
1.183313945999999994e+01 1.143027155094418390e+01 1.399999999999999689e+00 -1.727945469616136154e-01
1.182122085000000133e+01 1.141843222890738652e+01 1.399999999999999911e+00 -1.727951123330676020e-01
1.180930223999999917e+01 1.140659307201350003e+01 1.399999999999999911e+00 -1.727956785594751965e-01
1.179738362999999879e+01 1.139475408077728424e+01 1.399999999999999911e+00 -1.727962456498889632e-01
1.178546502000000018e+01 1.138291525571562346e+01 1.399999999999999911e+00 -1.727968136134977739e-01
1.177354640999999980e+01 1.137107659734754250e+01 1.399999999999999689e+00 -1.727973824596196195e-01
1.176162779999999941e+01 1.135923810619423335e+01 1.399999999999999911e+00 -1.727979521977106858e-01
1.174970918999999903e+01 1.134739978277904804e+01 1.399999999999999911e+00 -1.727985228373625781e-01
1.173779057999999864e+01 1.133556162762752351e+01 1.399999999999999911e+00 -1.727990943883103703e-01
1.172587197000000003e+01 1.132372364126737807e+01 1.399999999999999911e+00 -1.727996668604319663e-01
1.171395335999999965e+01 1.131188582422853983e+01 1.399999999999999689e+00 -1.728002402637469070e-01
1.170203474999999926e+01 1.130004817704314490e+01 1.399999999999999911e+00 -1.728008146084223651e-01
1.169011613999999888e+01 1.128821070024555517e+01 1.399999999999999911e+00 -1.728013899047799173e-01
1.167819753000000027e+01 1.127637339437237252e+01 1.399999999999999911e+00 -1.728019661632862469e-01
1.166627891999999989e+01 1.126453625996244057e+01 1.399999999999999911e+00 -1.728025433945673539e-01
1.165436030999999772e+01 1.125269929755686427e+01 1.399999999999999689e+00 -1.728031216094027545e-01
1.164244169999999912e+01 1.124086250769902406e+01 1.399999999999999911e+00 -1.728037008187336132e-01
1.163052309000000051e+01 1.122902589093457948e+01 1.399999999999999911e+00 -1.728042810336613277e-01
1.161860448000000012e+01 1.121718944781148330e+01 1.399999999999999689e+00 -1.728048622654518029e-01
1.160668586999999796e+01 1.120535317887999760e+01 1.399999999999999911e+00 -1.728054445255390870e-01
1.159476725999999935e+01 1.119351708469270967e+01 1.399999999999999689e+00 -1.728060278255241777e-01
1.158284865000000075e+01 1.118168116580453031e+01 1.399999999999999911e+00 -1.728066121771809904e-01
1.157093004000000036e+01 1.116984542277271508e+01 1.399999999999999911e+00 -1.728071975924614645e-01
1.155901142999999998e+01 1.115800985615687857e+01 1.399999999999999911e+00 -1.728077840834897350e-01
1.154709282000000137e+01 1.114617446651900501e+01 1.400000000000000133e+00 -1.728083716625754829e-01
1.153517421000000098e+01 1.113433925442345362e+01 1.399999999999999911e+00 -1.728089603422075515e-01
1.152325560000000060e+01 1.112250422043698350e+01 1.399999999999999911e+00 -1.728095501350631336e-01
1.151133699000000021e+01 1.111066936512875536e+01 1.399999999999999911e+00 -1.728101410540046901e-01
1.149941838000000160e+01 1.109883468907035642e+01 1.399999999999999911e+00 -1.728107331120930512e-01
1.148749976999999944e+01 1.108700019283579152e+01 1.400000000000000133e+00 -1.728113263277599454e-01
1.147558116000000084e+01 1.107516587700152932e+01 1.399999999999999911e+00 -1.728119207376735689e-01
1.146366255000000045e+01 1.106333174214647741e+01 1.399999999999999911e+00 -1.728125163829399846e-01
1.145174394000000007e+01 1.105149778885202849e+01 1.399999999999999911e+00 -1.728131133052660806e-01
1.143982532999999968e+01 1.103966401770205152e+01 1.399999999999999911e+00 -1.728137115469703389e-01
1.142790672000000107e+01 1.102783042928291657e+01 1.400000000000000133e+00 -1.728143111509923002e-01
1.141598811000000069e+01 1.101599702418349835e+01 1.399999999999999911e+00 -1.728149121608980876e-01
1.140406950000000030e+01 1.100416380299519936e+01 1.399999999999999911e+00 -1.728155146208935344e-01
1.139215088999999992e+01 1.099233076631196404e+01 1.399999999999999911e+00 -1.728161185700617386e-01
1.138023228000000131e+01 1.098049791473028058e+01 1.399999999999999911e+00 -1.728167239761495555e-01
1.136831366999999915e+01 1.096866524884920047e+01 1.399999999999999911e+00 -1.728173307574573658e-01
1.135639506000000054e+01 1.095683276927036509e+01 1.399999999999999911e+00 -1.728179388301019082e-01
1.134447645000000016e+01 1.094500047659799336e+01 1.399999999999999911e+00 -1.728185481089256348e-01
1.133255783999999977e+01 1.093316837143892251e+01 1.399999999999999911e+00 -1.728191585074730086e-01
1.132063922999999939e+01 1.092133645440260103e+01 1.399999999999999911e+00 -1.728197699379727115e-01
1.130872062000000078e+01 1.090950472610111888e+01 1.399999999999999911e+00 -1.728203823113313442e-01
1.129680201000000039e+01 1.089767318714920563e+01 1.399999999999999911e+00 -1.728209955371053375e-01
1.128488340000000001e+01 1.088584183816426254e+01 1.399999999999999911e+00 -1.728216095234888228e-01
1.127296478999999962e+01 1.087401067976636071e+01 1.399999999999999911e+00 -1.728222241772957024e-01
1.126104618000000102e+01 1.086217971257827308e+01 1.399999999999999911e+00 -1.728228394039411919e-01
1.124912756999999885e+01 1.085034893722546201e+01 1.399999999999999911e+00 -1.728234551074321057e-01
1.123720896000000025e+01 1.083851835433613076e+01 1.399999999999999911e+00 -1.728240711903314963e-01
1.122529034999999986e+01 1.082668796454119864e+01 1.399999999999999911e+00 -1.728246875537600979e-01
1.121337174000000125e+01 1.081485776847435076e+01 1.399999999999999911e+00 -1.728253040973616594e-01
1.120145312999999909e+01 1.080302776677202559e+01 1.399999999999999911e+00 -1.728259207192990032e-01
1.118953452000000048e+01 1.079119796007345400e+01 1.399999999999999911e+00 -1.728265373162219398e-01
1.117761591000000010e+01 1.077936834902065044e+01 1.399999999999999911e+00 -1.728271537832553328e-01
1.116569729999999971e+01 1.076753893425845021e+01 1.399999999999999911e+00 -1.728277700139753958e-01
1.115377868999999933e+01 1.075570971643450591e+01 1.399999999999999911e+00 -1.728283859003965917e-01
1.114186008000000072e+01 1.074388069619932118e+01 1.399999999999999911e+00 -1.728290013329459585e-01
1.112994146999999856e+01 1.073205187420624362e+01 1.399999999999999911e+00 -1.728296162004433201e-01
1.111802285999999995e+01 1.072022325111151098e+01 1.399999999999999911e+00 -1.728302303900848547e-01
1.110610424999999957e+01 1.070839482757423156e+01 1.399999999999999911e+00 -1.728308437874170045e-01
1.109418564000000096e+01 1.069656660425643224e+01 1.399999999999999911e+00 -1.728314562763170470e-01
1.108226702999999880e+01 1.068473858182304603e+01 1.399999999999999911e+00 -1.728320677389721949e-01
1.107034842000000019e+01 1.067291076094196178e+01 1.399999999999999911e+00 -1.728326780558624709e-01
1.105842980999999980e+01 1.066108314228400111e+01 1.399999999999999911e+00 -1.728332871057284559e-01
1.104651119999999942e+01 1.064925572652296282e+01 1.399999999999999911e+00 -1.728338947655610192e-01
1.103459258999999903e+01 1.063742851433563352e+01 1.399999999999999911e+00 -1.728345009105634877e-01
1.102267398000000043e+01 1.062560150640180012e+01 1.399999999999999911e+00 -1.728351054141489540e-01
1.101075536999999827e+01 1.061377470340426221e+01 1.399999999999999911e+00 -1.728357081478986423e-01
1.099883675999999966e+01 1.060194810602886051e+01 1.399999999999999911e+00 -1.728363089815294629e-01
1.098691814999999927e+01 1.059012171496448396e+01 1.399999999999999911e+00 -1.728369077543345789e-01
1.097499954000000066e+01 1.057829553090309460e+01 1.399999999999999911e+00 -1.728375042175433474e-01
1.096308093000000028e+01 1.056646955453972936e+01 1.400000000000000133e+00 -1.728380981026747809e-01
1.095116232000000167e+01 1.055464378657254620e+01 1.399999999999999911e+00 -1.728386891372945544e-01
1.093924371000000129e+01 1.054281822770280108e+01 1.399999999999999911e+00 -1.728392770449514171e-01
1.092732509999999913e+01 1.053099287863490474e+01 1.399999999999999911e+00 -1.728398615451256504e-01
1.091540649000000052e+01 1.051916774007642097e+01 1.399999999999999911e+00 -1.728404423531830214e-01
1.090348788000000191e+01 1.050734281273807724e+01 1.400000000000000133e+00 -1.728410191803113338e-01
1.089156927000000152e+01 1.049551809733379315e+01 1.399999999999999911e+00 -1.728415917384721889e-01
1.087965065999999936e+01 1.048369359458070349e+01 1.399999999999999911e+00 -1.728421599569358591e-01
1.086773205000000075e+01 1.047186930519916892e+01 1.399999999999999911e+00 -1.728427240694898337e-01
1.085581344000000215e+01 1.046004522991278485e+01 1.399999999999999911e+00 -1.728432843361934756e-01
1.084389482999999998e+01 1.044822136944841517e+01 1.400000000000000133e+00 -1.728438410215294152e-01
1.083197621999999960e+01 1.043639772453620651e+01 1.399999999999999911e+00 -1.728443943944803496e-01
1.082005761000000099e+01 1.042457429590960238e+01 1.399999999999999911e+00 -1.728449447285818064e-01
1.080813900000000061e+01 1.041275108430536278e+01 1.399999999999999911e+00 -1.728454923019990264e-01
1.079622039000000022e+01 1.040092809046358546e+01 1.399999999999999911e+00 -1.728460373975666542e-01
1.078430177999999984e+01 1.038910531512772550e+01 1.399999999999999911e+00 -1.728465803028806369e-01
1.077238317000000123e+01 1.037728275904460951e+01 1.399999999999999911e+00 -1.728471213103433268e-01
1.076046456000000084e+01 1.036546042296445513e+01 1.399999999999999911e+00 -1.728476607172440283e-01
1.074854595000000046e+01 1.035363830764089954e+01 1.399999999999999911e+00 -1.728481988258136759e-01
1.073662734000000007e+01 1.034181641383100647e+01 1.399999999999999911e+00 -1.728487359433078241e-01
1.072470872999999969e+01 1.032999474229529291e+01 1.399999999999999911e+00 -1.728492723820543309e-01
1.071279012000000108e+01 1.031817329379774684e+01 1.399999999999999911e+00 -1.728498084595503081e-01
1.070087151000000070e+01 1.030635206910584500e+01 1.399999999999999911e+00 -1.728503444985112214e-01
1.068895290000000031e+01 1.029453106899057957e+01 1.399999999999999911e+00 -1.728508808269458019e-01
1.067703428999999993e+01 1.028271029422646521e+01 1.399999999999999911e+00 -1.728514177782395911e-01
1.066511568000000132e+01 1.027088974559157997e+01 1.399999999999999911e+00 -1.728519556912237187e-01
1.065319707000000093e+01 1.025906942386755638e+01 1.399999999999999911e+00 -1.728524949102458741e-01
1.064127845999999877e+01 1.024724932983963299e+01 1.399999999999999911e+00 -1.728530357852473553e-01
1.062935985000000016e+01 1.023542946429665434e+01 1.399999999999999911e+00 -1.728535786718383982e-01
1.061744124000000156e+01 1.022360982803109941e+01 1.399999999999999911e+00 -1.728541239313768074e-01
1.060552262999999940e+01 1.021179042183909402e+01 1.399999999999999911e+00 -1.728546719310525004e-01
1.059360401999999901e+01 1.019997124652045173e+01 1.399999999999999911e+00 -1.728552230439665827e-01
1.058168541000000040e+01 1.018815230287866846e+01 1.399999999999999911e+00 -1.728557776491891906e-01
1.056976680000000179e+01 1.017633359172096696e+01 1.399999999999999911e+00 -1.728563361318774527e-01
1.055784818999999963e+01 1.016451511385829853e+01 1.399999999999999911e+00 -1.728568988833308340e-01
1.054592957999999925e+01 1.015269687010538746e+01 1.399999999999999911e+00 -1.728574663010884749e-01
1.053401097000000064e+01 1.014087886128073102e+01 1.399999999999999911e+00 -1.728580387890046310e-01
1.052209236000000026e+01 1.012906108820662787e+01 1.399999999999999911e+00 -1.728586167573415988e-01
1.051017374999999987e+01 1.011724355170920830e+01 1.399999999999999911e+00 -1.728592006228625022e-01
1.049825513999999949e+01 1.010542625261844840e+01 1.399999999999999911e+00 -1.728597908091919211e-01
1.048633652999999910e+01 1.009360919176819493e+01 1.399999999999999911e+00 -1.728603878874607758e-01
1.047441792000000049e+01 1.008179236999618844e+01 1.399999999999999911e+00 -1.728609928050142686e-01
1.046249931000000011e+01 1.006997578814407568e+01 1.399999999999999911e+00 -1.728616065833034898e-01
1.045058069999999972e+01 1.005815944705745757e+01 1.399999999999999911e+00 -1.728622302599358285e-01
1.043866208999999934e+01 1.004634334758588032e+01 1.399999999999999911e+00 -1.728628648888906327e-01
1.042674348000000073e+01 1.003452749058288695e+01 1.399999999999999911e+00 -1.728635115407521350e-01
1.041482487000000035e+01 1.002271187690601728e+01 1.399999999999999911e+00 -1.728641713029278326e-01
1.040290625999999818e+01 1.001089650741684700e+01 1.399999999999999911e+00 -1.728648452798880464e-01
1.039098764999999958e+01 9.999081382981009014e+00 1.399999999999999911e+00 -1.728655345932906262e-01
1.037906904000000097e+01 9.987266504468209405e+00 1.399999999999999911e+00 -1.728662401463094689e-01
1.036715043000000058e+01 9.975451872752259419e+00 1.399999999999999911e+00 -1.728669621041930837e-01
1.035523181999999842e+01 9.963637488711091450e+00 1.399999999999999911e+00 -1.728677004844847709e-01
1.034331320999999981e+01 9.951823353226801672e+00 1.399999999999999911e+00 -1.728684553039198657e-01
1.033139460000000120e+01 9.940009467185646486e+00 1.399999999999999911e+00 -1.728692265783958459e-01
1.031947598999999904e+01 9.928195831478083377e+00 1.399999999999999911e+00 -1.728700143229500441e-01
1.030755737999999866e+01 9.916382446998804667e+00 1.399999999999999911e+00 -1.728708185517426055e-01
1.029563877000000005e+01 9.904569314646746392e+00 1.399999999999999911e+00 -1.728716392780329514e-01
1.028372016000000144e+01 9.892756435325116726e+00 1.399999999999999911e+00 -1.728724765141477215e-01
1.027180154999999928e+01 9.880943809941420852e+00 1.399999999999999911e+00 -1.728733302714696163e-01
1.025988293999999890e+01 9.869131439407500039e+00 1.399999999999999911e+00 -1.728742005604000376e-01
1.024796433000000029e+01 9.857319324639538749e+00 1.399999999999999911e+00 -1.728750873903497354e-01
1.023604571999999990e+01 9.845507466558101939e+00 1.399999999999999911e+00 -1.728759907697086928e-01
1.022412710999999952e+01 9.833695866088151050e+00 1.399999999999999911e+00 -1.728769107058038823e-01
1.021220849999999913e+01 9.821884524159083085e+00 1.399999999999999911e+00 -1.728778472048916881e-01
1.020028988999999875e+01 9.810073441704751929e+00 1.399999999999999911e+00 -1.728788002721279859e-01
1.018837128000000014e+01 9.798262619663487882e+00 1.399999999999999911e+00 -1.728797699115396103e-01
1.017645266999999976e+01 9.786452058978133195e+00 1.399999999999999911e+00 -1.728807561259760317e-01
1.016453405999999760e+01 9.774641760596061602e+00 1.399999999999999911e+00 -1.728817589171143254e-01
1.015261544999999899e+01 9.762831725469222732e+00 1.399999999999999911e+00 -1.728827782854135409e-01
1.014069684000000038e+01 9.751021954554143889e+00 1.399999999999999911e+00 -1.728838142300663516e-01
1.012877822999999999e+01 9.739212448811972678e+00 1.399999999999999911e+00 -1.728848667490025248e-01
1.011685961999999783e+01 9.727403209208503654e+00 1.399999999999999911e+00 -1.728859358388255552e-01
1.010494100999999922e+01 9.715594236714213849e+00 1.399999999999999911e+00 -1.728870214947910711e-01
1.009302240000000062e+01 9.703785532304268102e+00 1.399999999999999911e+00 -1.728881237108095270e-01
1.008110379000000023e+01 9.691977096958570570e+00 1.399999999999999911e+00 -1.728892424793105620e-01
1.006918517999999807e+01 9.680168931661778942e+00 1.399999999999999911e+00 -1.728903777913482487e-01
1.005726656999999946e+01 9.668361037403348845e+00 1.399999999999999911e+00 -1.728915296364416099e-01
1.004534796000000085e+01 9.656553415177539179e+00 1.399999999999999911e+00 -1.728926980026179450e-01
1.003342934999999869e+01 9.644746065983463623e+00 1.399999999999999911e+00 -1.728938828763137703e-01
1.002151073999999831e+01 9.632938990825106629e+00 1.399999999999999911e+00 -1.728950842424039624e-01
1.000959212999999970e+01 9.621132190711366050e+00 1.399999999999999911e+00 -1.728963020841049192e-01
9.997673519999999314e+00 9.609325666656062026e+00 1.399999999999999911e+00 -1.728975363815151434e-01
9.985754909999998929e+00 9.597519419677988495e+00 1.399999999999999911e+00 -1.728987867876534135e-01
9.973836299999998545e+00 9.585713450800932733e+00 1.399999999999999911e+00 -1.729000522094500947e-01
9.961917689999999936e+00 9.573907761053709109e+00 1.399999999999999911e+00 -1.729013314321261041e-01
9.949999079999999552e+00 9.562102351470182171e+00 1.399999999999999911e+00 -1.729026232191103740e-01
9.938080470000000943e+00 9.550297223089312837e+00 1.399999999999999911e+00 -1.729039263117289893e-01
9.926161860000000559e+00 9.538492376955170826e+00 1.399999999999999911e+00 -1.729052394288268790e-01
9.914243250000000174e+00 9.526687814116984399e+00 1.399999999999999911e+00 -1.729065612664695828e-01
9.902324639999999789e+00 9.514883535629158118e+00 1.399999999999999911e+00 -1.729078904975748232e-01
9.890406030000001181e+00 9.503079542551317260e+00 1.399999999999999911e+00 -1.729092257715371672e-01
9.878487419999999020e+00 9.491275835948318473e+00 1.399999999999999911e+00 -1.729105657981081234e-01
9.866568810000000411e+00 9.479472416890311948e+00 1.399999999999999911e+00 -1.729119100275516574e-01
9.854650200000000027e+00 9.467669286452748523e+00 1.399999999999999911e+00 -1.729132583069686591e-01
