# r12 r13 r23 energy
1.200000000000000000e+01 1.060000000000000142e+01 1.399999999999999911e+00 -1.728061493819278149e-01
1.198808138999999962e+01 1.058808138999999926e+01 1.399999999999999911e+00 -1.728066019588267443e-01
1.197616277999999923e+01 1.057616277999999888e+01 1.399999999999999911e+00 -1.728070499863481879e-01
1.196424417000000062e+01 1.056424417000000027e+01 1.399999999999999911e+00 -1.728074932592756074e-01
1.195232556000000024e+01 1.055232556000000166e+01 1.399999999999999911e+00 -1.728079315693406004e-01
1.194040694999999985e+01 1.054040694999999950e+01 1.399999999999999911e+00 -1.728083647051822103e-01
1.192848833999999947e+01 1.052848833999999911e+01 1.399999999999999911e+00 -1.728087924523050156e-01
1.191656973000000086e+01 1.051656973000000050e+01 1.399999999999999911e+00 -1.728092145930363310e-01
1.190465112000000047e+01 1.050465112000000012e+01 1.399999999999999911e+00 -1.728096309064827696e-01
1.189273250999999831e+01 1.049273250999999973e+01 1.399999999999999689e+00 -1.728100411898090549e-01
1.188081389999999971e+01 1.048081389999999935e+01 1.399999999999999911e+00 -1.728104455454575195e-01
1.186889529000000110e+01 1.046889529000000074e+01 1.399999999999999911e+00 -1.728108443099755087e-01
1.185697667999999894e+01 1.045697667999999858e+01 1.399999999999999911e+00 -1.728112378312232633e-01
1.184505806999999855e+01 1.044505806999999997e+01 1.399999999999999911e+00 -1.728116264628853094e-01
1.183313945999999994e+01 1.043313945999999959e+01 1.399999999999999689e+00 -1.728120105645507276e-01
1.182122085000000133e+01 1.042122085000000276e+01 1.399999999999999911e+00 -1.728123905017956430e-01
1.180930223999999917e+01 1.040930223999999882e+01 1.399999999999999911e+00 -1.728127666462644652e-01
1.179738362999999879e+01 1.039738363000000021e+01 1.399999999999999911e+00 -1.728131393757540435e-01
1.178546502000000018e+01 1.038546501999999983e+01 1.399999999999999911e+00 -1.728135090742984326e-01
1.177354640999999980e+01 1.037354641000000122e+01 1.399999999999999689e+00 -1.728138761322545458e-01
1.176162779999999941e+01 1.036162780000000083e+01 1.399999999999999911e+00 -1.728142409463896412e-01
1.174970918999999903e+01 1.034970918999999867e+01 1.399999999999999911e+00 -1.728146039199690565e-01
1.173779057999999864e+01 1.033779058000000006e+01 1.399999999999999911e+00 -1.728149654628461096e-01
1.172587197000000003e+01 1.032587197000000145e+01 1.399999999999999911e+00 -1.728153259915523321e-01
1.171395335999999965e+01 1.031395335999999929e+01 1.399999999999999689e+00 -1.728156859293900061e-01
1.170203474999999926e+01 1.030203475000000068e+01 1.399999999999999911e+00 -1.728160457065246736e-01
1.169011613999999888e+01 1.029011614000000030e+01 1.399999999999999911e+00 -1.728164057600797276e-01
1.167819753000000027e+01 1.027819752999999992e+01 1.399999999999999911e+00 -1.728167665342326964e-01
1.166627891999999989e+01 1.026627891999999953e+01 1.399999999999999911e+00 -1.728171284803114160e-01
1.165436030999999772e+01 1.025436030999999915e+01 1.399999999999999689e+00 -1.728174920568931461e-01
1.164244169999999912e+01 1.024244169999999876e+01 1.399999999999999911e+00 -1.728178577299034069e-01
1.163052309000000051e+01 1.023052309000000193e+01 1.399999999999999911e+00 -1.728182259727179815e-01
1.161860448000000012e+01 1.021860448000000154e+01 1.399999999999999689e+00 -1.728185972662650283e-01
1.160668586999999796e+01 1.020668586999999938e+01 1.399999999999999911e+00 -1.728189720991283873e-01
1.159476725999999935e+01 1.019476726000000077e+01 1.399999999999999689e+00 -1.728193509676536899e-01
1.158284865000000075e+01 1.018284865000000039e+01 1.399999999999999911e+00 -1.728197343760543292e-01
1.157093004000000036e+01 1.017093004000000001e+01 1.399999999999999911e+00 -1.728201228365204567e-01
1.155901142999999998e+01 1.015901142999999962e+01 1.399999999999999911e+00 -1.728205168693279226e-01
1.154709282000000137e+01 1.014709282000000101e+01 1.400000000000000133e+00 -1.728209170029496033e-01
1.153517421000000098e+01 1.013517421000000063e+01 1.399999999999999911e+00 -1.728213237741683395e-01
1.152325560000000060e+01 1.012325560000000202e+01 1.399999999999999911e+00 -1.728217377281908718e-01
1.151133699000000021e+01 1.011133698999999986e+01 1.399999999999999911e+00 -1.728221594187642207e-01
1.149941838000000160e+01 1.009941838000000303e+01 1.399999999999999911e+00 -1.728225894082924541e-01
1.148749976999999944e+01 1.008749976999999909e+01 1.400000000000000133e+00 -1.728230282731360035e-01
1.147558116000000084e+01 1.007558116000000048e+01 1.399999999999999911e+00 -1.728234766165936409e-01
1.146366255000000045e+01 1.006366255000000010e+01 1.399999999999999911e+00 -1.728239350552164266e-01
1.145174394000000007e+01 1.005174393999999971e+01 1.399999999999999911e+00 -1.728244042150972881e-01
1.143982532999999968e+01 1.003982532999999933e+01 1.399999999999999911e+00 -1.728248847320033310e-01
1.142790672000000107e+01 1.002790672000000072e+01 1.400000000000000133e+00 -1.728253772515075115e-01
1.141598811000000069e+01 1.001598811000000211e+01 1.399999999999999911e+00 -1.728258824291230566e-01
1.140406950000000030e+01 1.000406949999999995e+01 1.399999999999999911e+00 -1.728264009304401605e-01
1.139215088999999992e+01 9.992150890000001340e+00 1.399999999999999911e+00 -1.728269333759943904e-01
1.138023228000000131e+01 9.980232280000000955e+00 1.399999999999999911e+00 -1.728274797312018274e-01
1.136831366999999915e+01 9.968313670000000570e+00 1.399999999999999911e+00 -1.728280395199323083e-01
1.135639506000000054e+01 9.956395060000000186e+00 1.399999999999999911e+00 -1.728286122492410370e-01
1.134447645000000016e+01 9.944476449999999801e+00 1.399999999999999911e+00 -1.728291974169002820e-01
1.133255783999999977e+01 9.932557840000001192e+00 1.399999999999999911e+00 -1.728297945112578227e-01
1.132063922999999939e+01 9.920639230000000808e+00 1.399999999999999911e+00 -1.728304030110932588e-01
1.130872062000000078e+01 9.908720620000000423e+00 1.399999999999999911e+00 -1.728310223854730154e-01
1.129680201000000039e+01 9.896802010000000038e+00 1.399999999999999911e+00 -1.728316520936024614e-01
1.128488340000000001e+01 9.884883399999999654e+00 1.399999999999999911e+00 -1.728322915846754182e-01
1.127296478999999962e+01 9.872964789999999269e+00 1.399999999999999911e+00 -1.728329402977227258e-01
1.126104618000000102e+01 9.861046180000002437e+00 1.399999999999999911e+00 -1.728335976614569502e-01
1.124912756999999885e+01 9.849127569999998499e+00 1.399999999999999911e+00 -1.728342630941160363e-01
1.123720896000000025e+01 9.837208960000001667e+00 1.399999999999999911e+00 -1.728349360033036020e-01
1.122529034999999986e+01 9.825290349999999506e+00 1.399999999999999911e+00 -1.728356157858278175e-01
1.121337174000000125e+01 9.813371740000000898e+00 1.399999999999999911e+00 -1.728363018275363427e-01
1.120145312999999909e+01 9.801453129999998737e+00 1.399999999999999911e+00 -1.728369935031505711e-01
1.118953452000000048e+01 9.789534520000000128e+00 1.399999999999999911e+00 -1.728376901760962647e-01
1.117761591000000010e+01 9.777615909999999744e+00 1.399999999999999911e+00 -1.728383911983313315e-01
1.116569729999999971e+01 9.765697299999999359e+00 1.399999999999999911e+00 -1.728390959101725188e-01
1.115377868999999933e+01 9.753778689999998974e+00 1.399999999999999911e+00 -1.728398036401173621e-01
1.114186008000000072e+01 9.741860080000000366e+00 1.399999999999999911e+00 -1.728405137046650220e-01
1.112994146999999856e+01 9.729941469999998205e+00 1.399999999999999911e+00 -1.728412254081334587e-01
1.111802285999999995e+01 9.718022859999999596e+00 1.399999999999999911e+00 -1.728419380424752461e-01
1.110610424999999957e+01 9.706104249999999212e+00 1.399999999999999911e+00 -1.728426508870885003e-01
1.109418564000000096e+01 9.694185640000000603e+00 1.399999999999999911e+00 -1.728433632086260885e-01
1.108226702999999880e+01 9.682267029999998442e+00 1.399999999999999911e+00 -1.728440742608023384e-01
1.107034842000000019e+01 9.670348419999999834e+00 1.399999999999999911e+00 -1.728447832841961684e-01
1.105842980999999980e+01 9.658429809999999449e+00 1.399999999999999911e+00 -1.728454895060509422e-01
1.104651119999999942e+01 9.646511199999999064e+00 1.399999999999999911e+00 -1.728461921400718526e-01
1.103459258999999903e+01 9.634592589999998680e+00 1.399999999999999911e+00 -1.728468903862200035e-01
1.102267398000000043e+01 9.622673980000000071e+00 1.399999999999999911e+00 -1.728475834305032433e-01
1.101075536999999827e+01 9.610755369999997910e+00 1.399999999999999911e+00 -1.728482704447638074e-01
1.099883675999999966e+01 9.598836759999999302e+00 1.399999999999999911e+00 -1.728489505864437836e-01
1.098691814999999927e+01 9.586918149999998917e+00 1.399999999999999911e+00 -1.728496229698379960e-01
1.097499954000000066e+01 9.574999540000000309e+00 1.399999999999999911e+00 -1.728502866082422817e-01
1.096308093000000028e+01 9.563080929999999924e+00 1.400000000000000133e+00 -1.728509404821264583e-01
1.095116232000000167e+01 9.551162320000001316e+00 1.399999999999999911e+00 -1.728515835546663992e-01
1.093924371000000129e+01 9.539243710000000931e+00 1.399999999999999911e+00 -1.728522147714853796e-01
1.092732509999999913e+01 9.527325099999998770e+00 1.399999999999999911e+00 -1.728528330603920637e-01
1.091540649000000052e+01 9.515406490000000161e+00 1.399999999999999911e+00 -1.728534373311121364e-01
1.090348788000000191e+01 9.503487880000001553e+00 1.400000000000000133e+00 -1.728540264750179911e-01
1.089156927000000152e+01 9.491569270000001168e+00 1.399999999999999911e+00 -1.728545994408231812e-01
1.087965065999999936e+01 9.479650659999999007e+00 1.399999999999999911e+00 -1.728551559274637550e-01
1.086773205000000075e+01 9.467732050000000399e+00 1.399999999999999911e+00 -1.728556960756122141e-01
1.085581344000000215e+01 9.455813440000001791e+00 1.399999999999999911e+00 -1.728562200349546829e-01
1.084389482999999998e+01 9.443894829999999629e+00 1.400000000000000133e+00 -1.728567279588953121e-01
1.083197621999999960e+01 9.431976219999999245e+00 1.399999999999999911e+00 -1.728572200046157858e-01
1.082005761000000099e+01 9.420057610000000636e+00 1.399999999999999911e+00 -1.728576963331351912e-01
1.080813900000000061e+01 9.408139000000000252e+00 1.399999999999999911e+00 -1.728581571093725788e-01
1.079622039000000022e+01 9.396220389999999867e+00 1.399999999999999911e+00 -1.728586025022067485e-01
1.078430177999999984e+01 9.384301779999999482e+00 1.399999999999999911e+00 -1.728590326845424463e-01
1.077238317000000123e+01 9.372383170000000874e+00 1.399999999999999911e+00 -1.728594478333726758e-01
1.076046456000000084e+01 9.360464560000000489e+00 1.399999999999999911e+00 -1.728598481298442013e-01
1.074854595000000046e+01 9.348545950000000104e+00 1.399999999999999911e+00 -1.728602337593241611e-01
1.073662734000000007e+01 9.336627339999999720e+00 1.399999999999999911e+00 -1.728606049114664589e-01
1.072470872999999969e+01 9.324708729999999335e+00 1.399999999999999911e+00 -1.728609617802797094e-01
1.071279012000000108e+01 9.312790120000000726e+00 1.399999999999999911e+00 -1.728613045641969326e-01
1.070087151000000070e+01 9.300871510000000342e+00 1.399999999999999911e+00 -1.728616334661460530e-01
1.068895290000000031e+01 9.288952899999999957e+00 1.399999999999999911e+00 -1.728619486936192051e-01
1.067703428999999993e+01 9.277034289999999572e+00 1.399999999999999911e+00 -1.728622504587472575e-01
1.066511568000000132e+01 9.265115680000000964e+00 1.399999999999999911e+00 -1.728625389783712551e-01
1.065319707000000093e+01 9.253197070000000579e+00 1.399999999999999911e+00 -1.728628144741183870e-01
1.064127845999999877e+01 9.241278459999998418e+00 1.399999999999999911e+00 -1.728630771724745385e-01
1.062935985000000016e+01 9.229359849999999810e+00 1.399999999999999911e+00 -1.728633273048659214e-01
1.061744124000000156e+01 9.217441240000001201e+00 1.399999999999999911e+00 -1.728635651077322644e-01
1.060552262999999940e+01 9.205522629999999040e+00 1.399999999999999911e+00 -1.728637908226076658e-01
1.059360401999999901e+01 9.193604019999998656e+00 1.399999999999999911e+00 -1.728640046962003629e-01
1.058168541000000040e+01 9.181685410000000047e+00 1.399999999999999911e+00 -1.728642069804739723e-01
1.056976680000000179e+01 9.169766800000001439e+00 1.399999999999999911e+00 -1.728643979327313396e-01
1.055784818999999963e+01 9.157848189999999278e+00 1.399999999999999911e+00 -1.728645778156957802e-01
1.054592957999999925e+01 9.145929579999998893e+00 1.399999999999999911e+00 -1.728647468975978152e-01
1.053401097000000064e+01 9.134010970000000285e+00 1.399999999999999911e+00 -1.728649054522612138e-01
1.052209236000000026e+01 9.122092359999999900e+00 1.399999999999999911e+00 -1.728650537591904790e-01
1.051017374999999987e+01 9.110173749999999515e+00 1.399999999999999911e+00 -1.728651921036601091e-01
1.049825513999999949e+01 9.098255139999999130e+00 1.399999999999999911e+00 -1.728653207770982081e-01
1.048633652999999910e+01 9.086336529999998746e+00 1.399999999999999911e+00 -1.728654402177028648e-01
1.047441792000000049e+01 9.074417920000000137e+00 1.399999999999999911e+00 -1.728655512391872595e-01
1.046249931000000011e+01 9.062499309999999753e+00 1.399999999999999911e+00 -1.728656547286440137e-01
1.045058069999999972e+01 9.050580699999999368e+00 1.399999999999999911e+00 -1.728657515886116713e-01
1.043866208999999934e+01 9.038662089999998983e+00 1.399999999999999911e+00 -1.728658427372988804e-01
1.042674348000000073e+01 9.026743480000000375e+00 1.399999999999999911e+00 -1.728659291088096850e-01
1.041482487000000035e+01 9.014824869999999990e+00 1.399999999999999911e+00 -1.728660116533735358e-01
1.040290625999999818e+01 9.002906259999997829e+00 1.399999999999999911e+00 -1.728660913375800745e-01
1.039098764999999958e+01 8.990987649999999221e+00 1.399999999999999911e+00 -1.728661690784453753e-01
1.037906904000000097e+01 8.979069040000000612e+00 1.399999999999999911e+00 -1.728662452417304984e-01
1.036715043000000058e+01 8.967150430000000227e+00 1.399999999999999911e+00 -1.728663199101384274e-01
1.035523181999999842e+01 8.955231819999998066e+00 1.399999999999999911e+00 -1.728663931640441187e-01
1.034331320999999981e+01 8.943313209999999458e+00 1.399999999999999911e+00 -1.728664650836739258e-01
1.033139460000000120e+01 8.931394600000000850e+00 1.399999999999999911e+00 -1.728665357490749566e-01
1.031947598999999904e+01 8.919475989999998689e+00 1.399999999999999911e+00 -1.728666052400864295e-01
1.030755737999999866e+01 8.907557379999998304e+00 1.399999999999999911e+00 -1.728666736363060619e-01
1.029563877000000005e+01 8.895638769999999695e+00 1.399999999999999911e+00 -1.728667410170573182e-01
1.028372016000000144e+01 8.883720160000001087e+00 1.399999999999999911e+00 -1.728668074613584349e-01
1.027180154999999928e+01 8.871801549999998926e+00 1.399999999999999911e+00 -1.728668730478843119e-01
1.025988293999999890e+01 8.859882939999998541e+00 1.399999999999999911e+00 -1.728669378549333169e-01
1.024796433000000029e+01 8.847964329999999933e+00 1.399999999999999911e+00 -1.728670019603884556e-01
1.023604571999999990e+01 8.836045719999999548e+00 1.399999999999999911e+00 -1.728670654416835928e-01
1.022412710999999952e+01 8.824127109999999163e+00 1.399999999999999911e+00 -1.728671283757594879e-01
1.021220849999999913e+01 8.812208499999998779e+00 1.399999999999999911e+00 -1.728671908390289891e-01
1.020028988999999875e+01 8.800289889999998394e+00 1.399999999999999911e+00 -1.728672529073315145e-01
1.018837128000000014e+01 8.788371279999999786e+00 1.399999999999999911e+00 -1.728673146558934726e-01
1.017645266999999976e+01 8.776452669999999401e+00 1.399999999999999911e+00 -1.728673761592837421e-01
1.016453405999999760e+01 8.764534059999997240e+00 1.399999999999999911e+00 -1.728674374913702072e-01
1.015261544999999899e+01 8.752615449999998631e+00 1.399999999999999911e+00 -1.728674987252724893e-01
1.014069684000000038e+01 8.740696840000000023e+00 1.399999999999999911e+00 -1.728675599765778503e-01
1.012877822999999999e+01 8.728778229999999638e+00 1.399999999999999911e+00 -1.728676217029640194e-01
1.011685961999999783e+01 8.716859619999997477e+00 1.399999999999999911e+00 -1.728676845312857036e-01
1.010494100999999922e+01 8.704941009999998869e+00 1.399999999999999911e+00 -1.728677490990875032e-01
1.009302240000000062e+01 8.693022400000000260e+00 1.399999999999999911e+00 -1.728678160537692188e-01
1.008110379000000023e+01 8.681103789999999876e+00 1.399999999999999911e+00 -1.728678860527097516e-01
1.006918517999999807e+01 8.669185179999997715e+00 1.399999999999999911e+00 -1.728679597633970277e-01
1.005726656999999946e+01 8.657266569999999106e+00 1.399999999999999911e+00 -1.728680378635522319e-01
1.004534796000000085e+01 8.645347960000000498e+00 1.399999999999999911e+00 -1.728681210412594260e-01
1.003342934999999869e+01 8.633429349999998337e+00 1.399999999999999911e+00 -1.728682099950995810e-01
