# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.208139064843116550e+01 1.399999999999999911e+00 -1.728264921656864073e-01
1.198808138999999962e+01 1.206955241147178270e+01 1.399999999999999911e+00 -1.728273207308386183e-01
1.197616277999999923e+01 1.205771433286828653e+01 1.399999999999999911e+00 -1.728281522692281247e-01
1.196424417000000062e+01 1.204587641308755153e+01 1.399999999999999911e+00 -1.728289867862985163e-01
1.195232556000000024e+01 1.203403865259827654e+01 1.399999999999999911e+00 -1.728298242874041490e-01
1.194040694999999985e+01 1.202220105187100430e+01 1.399999999999999911e+00 -1.728306647778085070e-01
1.192848833999999947e+01 1.201036361137813024e+01 1.399999999999999911e+00 -1.728315082626820098e-01
1.191656973000000086e+01 1.199852633159390436e+01 1.399999999999999911e+00 -1.728323547471001531e-01
1.190465112000000047e+01 1.198668921299444001e+01 1.399999999999999911e+00 -1.728332042358816656e-01
1.189273250999999831e+01 1.197485225605772818e+01 1.399999999999999689e+00 -1.728340567333006561e-01
1.188081389999999971e+01 1.196301546126365167e+01 1.399999999999999911e+00 -1.728349122434456320e-01
1.186889529000000110e+01 1.195117882909398332e+01 1.399999999999999911e+00 -1.728357707702927737e-01
1.185697667999999894e+01 1.193934236003238958e+01 1.399999999999999911e+00 -1.728366323177036867e-01
1.184505806999999855e+01 1.192750605456447133e+01 1.399999999999999911e+00 -1.728374968894231811e-01
1.183313945999999994e+01 1.191566991317773549e+01 1.399999999999999689e+00 -1.728383644890770787e-01
1.182122085000000133e+01 1.190383393636162879e+01 1.399999999999999911e+00 -1.728392351201697708e-01
1.180930223999999917e+01 1.189199812460752881e+01 1.399999999999999911e+00 -1.728401087860821916e-01
1.179738362999999879e+01 1.188016247840878492e+01 1.399999999999999911e+00 -1.728409854900691267e-01
1.178546502000000018e+01 1.186832699826069160e+01 1.399999999999999911e+00 -1.728418652352571305e-01
1.177354640999999980e+01 1.185649168466051329e+01 1.399999999999999689e+00 -1.728427480246419179e-01
1.176162779999999941e+01 1.184465653810750396e+01 1.399999999999999911e+00 -1.728436338610859491e-01
1.174970918999999903e+01 1.183282155910290179e+01 1.399999999999999911e+00 -1.728445227473160983e-01
1.173779057999999864e+01 1.182098674814994865e+01 1.399999999999999911e+00 -1.728454146859209062e-01
1.172587197000000003e+01 1.180915210575389729e+01 1.399999999999999911e+00 -1.728463096793482201e-01
1.171395335999999965e+01 1.179731763242201126e+01 1.399999999999999689e+00 -1.728472077299025023e-01
1.170203474999999926e+01 1.178548332866359694e+01 1.399999999999999911e+00 -1.728481088397421095e-01
1.169011613999999888e+01 1.177364919498999285e+01 1.399999999999999911e+00 -1.728490130108769618e-01
1.167819753000000027e+01 1.176181523191459277e+01 1.399999999999999911e+00 -1.728499202451654337e-01
1.166627891999999989e+01 1.174998143995284750e+01 1.399999999999999911e+00 -1.728508305443119397e-01
1.165436030999999772e+01 1.173814781962227904e+01 1.399999999999999689e+00 -1.728517439098639918e-01
1.164244169999999912e+01 1.172631437144249844e+01 1.399999999999999911e+00 -1.728526603432093134e-01
1.163052309000000051e+01 1.171448109593520037e+01 1.399999999999999911e+00 -1.728535798455732575e-01
1.161860448000000012e+01 1.170264799362418096e+01 1.399999999999999689e+00 -1.728545024180157264e-01
1.160668586999999796e+01 1.169081506503535550e+01 1.399999999999999911e+00 -1.728554280614280625e-01
1.159476725999999935e+01 1.167898231069676385e+01 1.399999999999999689e+00 -1.728563567765305786e-01
1.158284865000000075e+01 1.166714973113857212e+01 1.399999999999999911e+00 -1.728572885638688661e-01
1.157093004000000036e+01 1.165531732689309585e+01 1.399999999999999911e+00 -1.728582234238114357e-01
1.155901142999999998e+01 1.164348509849480706e+01 1.399999999999999911e+00 -1.728591613565460816e-01
1.154709282000000137e+01 1.163165304648034848e+01 1.400000000000000133e+00 -1.728601023620769672e-01
1.153517421000000098e+01 1.161982117138853177e+01 1.399999999999999911e+00 -1.728610464402213498e-01
1.152325560000000060e+01 1.160798947376036239e+01 1.399999999999999911e+00 -1.728619935906064997e-01
1.151133699000000021e+01 1.159615795413904671e+01 1.399999999999999911e+00 -1.728629438126661755e-01
1.149941838000000160e+01 1.158432661307000089e+01 1.399999999999999911e+00 -1.728638971056376816e-01
1.148749976999999944e+01 1.157249545110085798e+01 1.400000000000000133e+00 -1.728648534701484607e-01
1.147558116000000084e+01 1.156066446878149634e+01 1.399999999999999911e+00 -1.728658129121622977e-01
1.146366255000000045e+01 1.154883366666402900e+01 1.399999999999999911e+00 -1.728667754387354649e-01
1.145174394000000007e+01 1.153700304530282850e+01 1.399999999999999911e+00 -1.728677410568363881e-01
1.143982532999999968e+01 1.152517260525453580e+01 1.399999999999999911e+00 -1.728687097733436484e-01
1.142790672000000107e+01 1.151334234707807092e+01 1.400000000000000133e+00 -1.728696815950439836e-01
