# r12 r13 r23 energy(Hartree)
9.616277999999999437e+00 8.216277999999999082e+00 1.399999999999999911e+00 -1.728716070290605977e-01
9.628196609999999822e+00 8.228196609999999467e+00 1.399999999999999911e+00 -1.728716039949641237e-01
9.604359390000000829e+00 8.204359390000000474e+00 1.399999999999999911e+00 -1.728715948668463065e-01
9.640115220000000207e+00 8.240115219999999852e+00 1.399999999999999911e+00 -1.728715866508352961e-01
9.592440780000000444e+00 8.192440780000000089e+00 1.399999999999999911e+00 -1.728715666057006606e-01
9.652033830000000592e+00 8.252033830000000236e+00 1.399999999999999911e+00 -1.728715558670273489e-01
9.580522170000000060e+00 8.180522169999999704e+00 1.399999999999999911e+00 -1.728715213264163109e-01
9.663952439999999200e+00 8.263952439999998845e+00 1.399999999999999911e+00 -1.728715125220708082e-01
9.568603560000001451e+00 8.168603560000001096e+00 1.399999999999999911e+00 -1.728714580929103239e-01
9.675871050000001361e+00 8.275871050000001006e+00 1.399999999999999911e+00 -1.728714575364169448e-01
9.687789659999999969e+00 8.287789659999999614e+00 1.399999999999999911e+00 -1.728713918221883583e-01
9.556684950000001066e+00 8.156684950000000711e+00 1.399999999999999911e+00 -1.728713759519162618e-01
9.699708270000000354e+00 8.299708269999999999e+00 1.399999999999999911e+00 -1.728713162747091414e-01
9.544766340000000682e+00 8.144766340000000326e+00 1.399999999999999911e+00 -1.728712739327176728e-01
9.711626880000000739e+00 8.311626880000000384e+00 1.399999999999999911e+00 -1.728712317728424153e-01
9.532847730000000297e+00 8.132847729999999942e+00 1.399999999999999911e+00 -1.728711510468190216e-01
9.723545490000001124e+00 8.323545490000000768e+00 1.399999999999999911e+00 -1.728711391792172869e-01
9.735464099999999732e+00 8.335464099999999377e+00 1.399999999999999911e+00 -1.728710393405129553e-01
9.520929120000001689e+00 8.120929120000001333e+00 1.399999999999999911e+00 -1.728710062876544218e-01
9.747382710000000117e+00 8.347382709999999761e+00 1.399999999999999911e+00 -1.728709330877432893e-01
9.509010510000001304e+00 8.109010510000000949e+00 1.399999999999999911e+00 -1.728708386303101918e-01
9.759301319999998725e+00 8.359301319999998370e+00 1.399999999999999911e+00 -1.728708212365096530e-01
9.771219930000000886e+00 8.371219930000000531e+00 1.399999999999999911e+00 -1.728707045872303893e-01
9.497091900000000919e+00 8.097091900000000564e+00 1.399999999999999911e+00 -1.728706470342550872e-01
9.783138539999999495e+00 8.383138540000000916e+00 1.399999999999999911e+00 -1.728705839254618404e-01
9.795057150000001656e+00 8.395057150000001300e+00 1.399999999999999911e+00 -1.728704600220720144e-01
9.485173290000000534e+00 8.085173290000000179e+00 1.399999999999999911e+00 -1.728704308417058078e-01
9.806975760000000264e+00 8.406975759999999909e+00 1.399999999999999911e+00 -1.728703336335511709e-01
9.818894370000000649e+00 8.418894370000000293e+00 1.399999999999999911e+00 -1.728702055022066086e-01
9.473254680000000150e+00 8.073254679999999794e+00 1.399999999999999911e+00 -1.728701901793165407e-01
9.830812979999999257e+00 8.430812979999998902e+00 1.399999999999999911e+00 -1.728700763564337273e-01
9.842731589999999642e+00 8.442731589999999287e+00 1.399999999999999911e+00 -1.728699469109042097e-01
9.461336070000001541e+00 8.061336070000001186e+00 1.399999999999999911e+00 -1.728699252691698884e-01
9.854650200000000027e+00 8.454650199999999671e+00 1.399999999999999911e+00 -1.728698178668351959e-01
9.866568810000000411e+00 8.466568810000000056e+00 1.399999999999999911e+00 -1.728696899122232067e-01
9.449417460000001157e+00 8.049417460000000801e+00 1.399999999999999911e+00 -1.728696363366790389e-01
9.878487419999999020e+00 8.478487419999998664e+00 1.399999999999999911e+00 -1.728695637220103443e-01
9.890406030000001181e+00 8.490406030000000825e+00 1.399999999999999911e+00 -1.728694399583490249e-01
