# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.081025191347744929e+01 1.399999999999999911e+00 -1.728036349334968746e-01
1.198808138999999962e+01 1.079835834464725508e+01 1.399999999999999911e+00 -1.728041679101577632e-01
1.197616277999999923e+01 1.078646483109790033e+01 1.399999999999999911e+00 -1.728046996956891512e-01
1.196424417000000062e+01 1.077457137301244927e+01 1.399999999999999911e+00 -1.728052301360669951e-01
1.195232556000000024e+01 1.076267797057477438e+01 1.399999999999999911e+00 -1.728057590749222938e-01
1.194040694999999985e+01 1.075078462396956169e+01 1.399999999999999911e+00 -1.728062863535221039e-01
1.192848833999999947e+01 1.073889133338231616e+01 1.399999999999999911e+00 -1.728068118107338180e-01
1.191656973000000086e+01 1.072699809899936696e+01 1.399999999999999911e+00 -1.728073352829869458e-01
1.190465112000000047e+01 1.071510492100785861e+01 1.399999999999999911e+00 -1.728078566042586250e-01
1.189273250999999831e+01 1.070321179959577762e+01 1.399999999999999689e+00 -1.728083756060168341e-01
1.188081389999999971e+01 1.069131873495194363e+01 1.399999999999999911e+00 -1.728088921172056813e-01
1.186889529000000110e+01 1.067942572726601647e+01 1.399999999999999911e+00 -1.728094059642061864e-01
1.185697667999999894e+01 1.066753277672849443e+01 1.399999999999999911e+00 -1.728099169707938421e-01
1.184505806999999855e+01 1.065563988353073377e+01 1.399999999999999911e+00 -1.728104249581191854e-01
1.183313945999999994e+01 1.064374704786494341e+01 1.399999999999999689e+00 -1.728109297446619175e-01
1.182122085000000133e+01 1.063185426992418847e+01 1.399999999999999911e+00 -1.728114311461937114e-01
1.180930223999999917e+01 1.061996154990239560e+01 1.399999999999999911e+00 -1.728119289757519828e-01
1.179738362999999879e+01 1.060806888799436898e+01 1.399999999999999911e+00 -1.728124230435938158e-01
1.178546502000000018e+01 1.059617628439577963e+01 1.399999999999999911e+00 -1.728129131571638777e-01
1.177354640999999980e+01 1.058428373930317790e+01 1.399999999999999689e+00 -1.728133991210576703e-01
1.176162779999999941e+01 1.057239125291400050e+01 1.399999999999999911e+00 -1.728138807369754559e-01
1.174970918999999903e+01 1.056049882542656526e+01 1.399999999999999911e+00 -1.728143578036931138e-01
1.173779057999999864e+01 1.054860645704009592e+01 1.399999999999999911e+00 -1.728148301170184531e-01
1.172587197000000003e+01 1.053671414795470440e+01 1.399999999999999911e+00 -1.728152974697517996e-01
