# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.115178623873916841e+01 1.399999999999999911e+00 -1.728631201073059509e-01
1.198808138999999962e+01 1.113992293085226493e+01 1.399999999999999911e+00 -1.728640717672199900e-01
1.197616277999999923e+01 1.112805974115221197e+01 1.399999999999999911e+00 -1.728650266773942568e-01
1.196424417000000062e+01 1.111619667001739664e+01 1.399999999999999911e+00 -1.728659848471918725e-01
1.195232556000000024e+01 1.110433371782781542e+01 1.399999999999999911e+00 -1.728669462859114825e-01
1.194040694999999985e+01 1.109247088496508837e+01 1.399999999999999911e+00 -1.728679110027853405e-01
1.192848833999999947e+01 1.108060817181247337e+01 1.399999999999999911e+00 -1.728688790069776160e-01
1.191656973000000086e+01 1.106874557875485721e+01 1.399999999999999911e+00 -1.728698503075822290e-01
1.190465112000000047e+01 1.105688310617878045e+01 1.399999999999999911e+00 -1.728708249136211850e-01
1.189273250999999831e+01 1.104502075447243570e+01 1.399999999999999689e+00 -1.728718028340424095e-01
1.188081389999999971e+01 1.103315852402568709e+01 1.399999999999999911e+00 -1.728727840777176672e-01
1.186889529000000110e+01 1.102129641523007209e+01 1.399999999999999911e+00 -1.728737686534408957e-01
1.185697667999999894e+01 1.100943442847880149e+01 1.399999999999999911e+00 -1.728747565699257638e-01
1.184505806999999855e+01 1.099757256416679319e+01 1.399999999999999911e+00 -1.728757478357559885e-01
1.183313945999999994e+01 1.098571082269065791e+01 1.399999999999999689e+00 -1.728767424498514893e-01
1.182122085000000133e+01 1.097384920444872236e+01 1.399999999999999911e+00 -1.728777403897251708e-01
1.180930223999999917e+01 1.096198770984102211e+01 1.399999999999999911e+00 -1.728787416295006485e-01
1.179738362999999879e+01 1.095012633926933887e+01 1.399999999999999911e+00 -1.728797461426940241e-01
1.178546502000000018e+01 1.093826509313717743e+01 1.399999999999999911e+00 -1.728807539022051143e-01
1.177354640999999980e+01 1.092640397184979939e+01 1.399999999999999689e+00 -1.728817648803083196e-01
1.176162779999999941e+01 1.091454297581422139e+01 1.399999999999999911e+00 -1.728827790486432980e-01
1.174970918999999903e+01 1.090268210543922400e+01 1.399999999999999911e+00 -1.728837963782059173e-01
1.173779057999999864e+01 1.089082136113536947e+01 1.399999999999999911e+00 -1.728848168393383733e-01
1.172587197000000003e+01 1.087896074331500351e+01 1.399999999999999911e+00 -1.728858404017198924e-01
1.171395335999999965e+01 1.086710025239226596e+01 1.399999999999999689e+00 -1.728868670343568781e-01
1.170203474999999926e+01 1.085523988878310675e+01 1.399999999999999911e+00 -1.728878967055728910e-01
1.169011613999999888e+01 1.084337965290528416e+01 1.399999999999999911e+00 -1.728889293829989904e-01
1.167819753000000027e+01 1.083151954517838966e+01 1.399999999999999911e+00 -1.728899650335632698e-01
1.166627891999999989e+01 1.081965956602384260e+01 1.399999999999999911e+00 -1.728910036234806435e-01
1.165436030999999772e+01 1.080779971586491151e+01 1.399999999999999689e+00 -1.728920451182424933e-01
1.164244169999999912e+01 1.079593999512672298e+01 1.399999999999999911e+00 -1.728930894826058440e-01
1.163052309000000051e+01 1.078408040423626524e+01 1.399999999999999911e+00 -1.728941366805830937e-01
1.161860448000000012e+01 1.077222094362239879e+01 1.399999999999999689e+00 -1.728951866754306621e-01
1.160668586999999796e+01 1.076036161371587419e+01 1.399999999999999911e+00 -1.728962394296381100e-01
1.159476725999999935e+01 1.074850241494934622e+01 1.399999999999999689e+00 -1.728972949049171759e-01
1.158284865000000075e+01 1.073664334775735973e+01 1.399999999999999911e+00 -1.728983530621900355e-01
1.157093004000000036e+01 1.072478441257638693e+01 1.399999999999999911e+00 -1.728994138615781995e-01
1.155901142999999998e+01 1.071292560984482911e+01 1.399999999999999911e+00 -1.729004772623905506e-01
1.154709282000000137e+01 1.070106694000302383e+01 1.400000000000000133e+00 -1.729015432231117144e-01
1.153517421000000098e+01 1.068920840349325196e+01 1.399999999999999911e+00 -1.729026117013899300e-01
1.152325560000000060e+01 1.067735000075976259e+01 1.399999999999999911e+00 -1.729036826540249761e-01
1.151133699000000021e+01 1.066549173224877123e+01 1.399999999999999911e+00 -1.729047560369558756e-01
1.149941838000000160e+01 1.065363359840848112e+01 1.399999999999999911e+00 -1.729058318052484611e-01
1.148749976999999944e+01 1.064177559968907261e+01 1.400000000000000133e+00 -1.729069099146728072e-01
1.147558116000000084e+01 1.062991773654275107e+01 1.399999999999999911e+00 -1.729079903256400819e-01
1.146366255000000045e+01 1.061806000942372030e+01 1.399999999999999911e+00 -1.729090729989489483e-01
1.145174394000000007e+01 1.060620241878821446e+01 1.399999999999999911e+00 -1.729101578945956563e-01
1.143982532999999968e+01 1.059434496509450874e+01 1.399999999999999911e+00 -1.729112449717621902e-01
1.142790672000000107e+01 1.058248764880292647e+01 1.400000000000000133e+00 -1.729123341888042509e-01
1.141598811000000069e+01 1.057063047037584269e+01 1.399999999999999911e+00 -1.729134255032389877e-01
1.140406950000000030e+01 1.055877343027771431e+01 1.399999999999999911e+00 -1.729145188717326476e-01
1.139215088999999992e+01 1.054691652897507481e+01 1.399999999999999911e+00 -1.729156142500880011e-01
1.138023228000000131e+01 1.053505976693655910e+01 1.399999999999999911e+00 -1.729167115932316312e-01
1.136831366999999915e+01 1.052320314463289996e+01 1.399999999999999911e+00 -1.729178108552009985e-01
1.135639506000000054e+01 1.051134666253695826e+01 1.399999999999999911e+00 -1.729189119891312298e-01
1.134447645000000016e+01 1.049949032112371405e+01 1.399999999999999911e+00 -1.729200149472430170e-01
1.133255783999999977e+01 1.048763412087029856e+01 1.399999999999999911e+00 -1.729211196950335427e-01
1.132063922999999939e+01 1.047577806225599595e+01 1.399999999999999911e+00 -1.729222262474391647e-01
1.130872062000000078e+01 1.046392214576225221e+01 1.399999999999999911e+00 -1.729233346305253938e-01
1.129680201000000039e+01 1.045206637187269649e+01 1.399999999999999911e+00 -1.729244448705975212e-01
1.128488340000000001e+01 1.044021074107314639e+01 1.399999999999999911e+00 -1.729255569942028947e-01
1.127296478999999962e+01 1.042835525385162576e+01 1.399999999999999911e+00 -1.729266710281330000e-01
1.126104618000000102e+01 1.041649991069837355e+01 1.399999999999999911e+00 -1.729277869994256811e-01
