# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.340000000000000036e+01 1.399999999999999911e+00 -1.727893558625974713e-01
1.198808138999999962e+01 1.338808138999999997e+01 1.399999999999999911e+00 -1.727900471014049422e-01
1.197616277999999923e+01 1.337616277999999959e+01 1.399999999999999911e+00 -1.727907408611435158e-01
1.196424417000000062e+01 1.336424417000000098e+01 1.399999999999999911e+00 -1.727914371487401235e-01
1.195232556000000024e+01 1.335232556000000059e+01 1.399999999999999911e+00 -1.727921359710820060e-01
1.194040694999999985e+01 1.334040695000000021e+01 1.399999999999999911e+00 -1.727928373350156865e-01
1.192848833999999947e+01 1.332848833999999982e+01 1.399999999999999911e+00 -1.727935412473457222e-01
1.191656973000000086e+01 1.331656972999999944e+01 1.399999999999999911e+00 -1.727942477148334544e-01
1.190465112000000047e+01 1.330465112000000083e+01 1.399999999999999911e+00 -1.727949567441959267e-01
1.189273250999999831e+01 1.329273250999999689e+01 1.399999999999999689e+00 -1.727956683421045525e-01
1.188081389999999971e+01 1.328081390000000006e+01 1.399999999999999911e+00 -1.727963825151837829e-01
1.186889529000000110e+01 1.326889529000000145e+01 1.399999999999999911e+00 -1.727970992700101072e-01
1.185697667999999894e+01 1.325697667999999929e+01 1.399999999999999911e+00 -1.727978186131104987e-01
1.184505806999999855e+01 1.324505806999999891e+01 1.399999999999999911e+00 -1.727985405509611105e-01
1.183313945999999994e+01 1.323313945999999852e+01 1.399999999999999689e+00 -1.727992650899861926e-01
1.182122085000000133e+01 1.322122085000000169e+01 1.399999999999999911e+00 -1.727999922365563434e-01
1.180930223999999917e+01 1.320930223999999953e+01 1.399999999999999911e+00 -1.728007219969875385e-01
1.179738362999999879e+01 1.319738362999999914e+01 1.399999999999999911e+00 -1.728014543775394651e-01
1.178546502000000018e+01 1.318546502000000054e+01 1.399999999999999911e+00 -1.728021893844141621e-01
1.177354640999999980e+01 1.317354641000000015e+01 1.399999999999999689e+00 -1.728029270237547155e-01
1.176162779999999941e+01 1.316162779999999977e+01 1.399999999999999911e+00 -1.728036673016434543e-01
1.174970918999999903e+01 1.314970918999999761e+01 1.399999999999999911e+00 -1.728044102241009516e-01
1.173779057999999864e+01 1.313779057999999900e+01 1.399999999999999911e+00 -1.728051557970840812e-01
1.172587197000000003e+01 1.312587197000000039e+01 1.399999999999999911e+00 -1.728059040264846857e-01
1.171395335999999965e+01 1.311395335999999823e+01 1.399999999999999689e+00 -1.728066549181281053e-01
1.170203474999999926e+01 1.310203474999999962e+01 1.399999999999999911e+00 -1.728074084777712627e-01
1.169011613999999888e+01 1.309011613999999923e+01 1.399999999999999911e+00 -1.728081647111015251e-01
1.167819753000000027e+01 1.307819752999999885e+01 1.399999999999999911e+00 -1.728089236237346504e-01
1.166627891999999989e+01 1.306627892000000024e+01 1.399999999999999911e+00 -1.728096852212134549e-01
1.165436030999999772e+01 1.305436030999999808e+01 1.399999999999999689e+00 -1.728104495090058701e-01
1.164244169999999912e+01 1.304244169999999947e+01 1.399999999999999911e+00 -1.728112164925033889e-01
1.163052309000000051e+01 1.303052309000000086e+01 1.399999999999999911e+00 -1.728119861770193999e-01
1.161860448000000012e+01 1.301860448000000048e+01 1.399999999999999689e+00 -1.728127585677872724e-01
1.160668586999999796e+01 1.300668586999999832e+01 1.399999999999999911e+00 -1.728135336699585245e-01
1.159476725999999935e+01 1.299476725999999971e+01 1.399999999999999689e+00 -1.728143114885881682e-01
1.158284865000000075e+01 1.298284865000000110e+01 1.399999999999999911e+00 -1.728150920282310876e-01
1.157093004000000036e+01 1.297093004000000072e+01 1.399999999999999911e+00 -1.728158752928624087e-01
1.155901142999999998e+01 1.295901143000000033e+01 1.399999999999999911e+00 -1.728166612863281659e-01
1.154709282000000137e+01 1.294709282000000172e+01 1.400000000000000133e+00 -1.728174500123710600e-01
1.153517421000000098e+01 1.293517421000000134e+01 1.399999999999999911e+00 -1.728182414746282647e-01
1.152325560000000060e+01 1.292325560000000095e+01 1.399999999999999911e+00 -1.728190356766293179e-01
1.151133699000000021e+01 1.291133699000000057e+01 1.399999999999999911e+00 -1.728198326217939285e-01
1.149941838000000160e+01 1.289941838000000196e+01 1.399999999999999911e+00 -1.728206323134300337e-01
1.148749976999999944e+01 1.288749976999999980e+01 1.400000000000000133e+00 -1.728214347563215569e-01
1.147558116000000084e+01 1.287558116000000119e+01 1.399999999999999911e+00 -1.728222399606759441e-01
1.146366255000000045e+01 1.286366254999999903e+01 1.399999999999999911e+00 -1.728230479378811690e-01
1.145174394000000007e+01 1.285174394000000042e+01 1.399999999999999911e+00 -1.728238586993269266e-01
1.143982532999999968e+01 1.283982533000000004e+01 1.399999999999999911e+00 -1.728246722564036608e-01
1.142790672000000107e+01 1.282790672000000143e+01 1.400000000000000133e+00 -1.728254886205018992e-01
1.141598811000000069e+01 1.281598811000000104e+01 1.399999999999999911e+00 -1.728263078030111144e-01
1.140406950000000030e+01 1.280406950000000066e+01 1.399999999999999911e+00 -1.728271298153192248e-01
1.139215088999999992e+01 1.279215089000000027e+01 1.399999999999999911e+00 -1.728279546688113455e-01
1.138023228000000131e+01 1.278023228000000167e+01 1.399999999999999911e+00 -1.728287823748691499e-01
1.136831366999999915e+01 1.276831366999999950e+01 1.399999999999999911e+00 -1.728296129448698981e-01
1.135639506000000054e+01 1.275639506000000090e+01 1.399999999999999911e+00 -1.728304463901853827e-01
1.134447645000000016e+01 1.274447645000000051e+01 1.399999999999999911e+00 -1.728312827221810954e-01
1.133255783999999977e+01 1.273255784000000013e+01 1.399999999999999911e+00 -1.728321219522152008e-01
1.132063922999999939e+01 1.272063922999999974e+01 1.399999999999999911e+00 -1.728329640916375642e-01
1.130872062000000078e+01 1.270872061999999936e+01 1.399999999999999911e+00 -1.728338091517887254e-01
1.129680201000000039e+01 1.269680201000000075e+01 1.399999999999999911e+00 -1.728346571439989265e-01
1.128488340000000001e+01 1.268488340000000036e+01 1.399999999999999911e+00 -1.728355080795869747e-01
1.127296478999999962e+01 1.267296478999999820e+01 1.399999999999999911e+00 -1.728363619698592424e-01
1.126104618000000102e+01 1.266104618000000137e+01 1.399999999999999911e+00 -1.728372188261085018e-01
1.124912756999999885e+01 1.264912756999999921e+01 1.399999999999999911e+00 -1.728380786596129537e-01
1.123720896000000025e+01 1.263720896000000060e+01 1.399999999999999911e+00 -1.728389414816349501e-01
1.122529034999999986e+01 1.262529035000000022e+01 1.399999999999999911e+00 -1.728398073034199400e-01
1.121337174000000125e+01 1.261337174000000161e+01 1.399999999999999911e+00 -1.728406761361952482e-01
1.120145312999999909e+01 1.260145312999999945e+01 1.399999999999999911e+00 -1.728415479911688812e-01
1.118953452000000048e+01 1.258953452000000084e+01 1.399999999999999911e+00 -1.728424228795283624e-01
1.117761591000000010e+01 1.257761590999999868e+01 1.399999999999999911e+00 -1.728433008124394543e-01
1.116569729999999971e+01 1.256569729999999829e+01 1.399999999999999911e+00 -1.728441818010448550e-01
1.115377868999999933e+01 1.255377868999999791e+01 1.399999999999999911e+00 -1.728450658564630038e-01
1.114186008000000072e+01 1.254186008000000108e+01 1.399999999999999911e+00 -1.728459529897867497e-01
1.112994146999999856e+01 1.252994146999999892e+01 1.399999999999999911e+00 -1.728468432120818798e-01
1.111802285999999995e+01 1.251802286000000031e+01 1.399999999999999911e+00 -1.728477365343860095e-01
1.110610424999999957e+01 1.250610424999999815e+01 1.399999999999999911e+00 -1.728486329677069999e-01
1.109418564000000096e+01 1.249418563999999954e+01 1.399999999999999911e+00 -1.728495325230244295e-01
1.108226702999999880e+01 1.248226702999999915e+01 1.399999999999999911e+00 -1.728504352113547915e-01
1.107034842000000019e+01 1.247034842000000054e+01 1.399999999999999911e+00 -1.728513410437534092e-01
1.105842980999999980e+01 1.245842980999999838e+01 1.399999999999999911e+00 -1.728522500312453525e-01
1.104651119999999942e+01 1.244651119999999977e+01 1.399999999999999911e+00 -1.728531621848207189e-01
1.103459258999999903e+01 1.243459258999999939e+01 1.399999999999999911e+00 -1.728540775154331077e-01
1.102267398000000043e+01 1.242267397999999901e+01 1.399999999999999911e+00 -1.728549960339980374e-01
1.101075536999999827e+01 1.241075536999999684e+01 1.399999999999999911e+00 -1.728559177513914191e-01
1.099883675999999966e+01 1.239883675999999824e+01 1.399999999999999911e+00 -1.728568426784426459e-01
1.098691814999999927e+01 1.238691814999999963e+01 1.399999999999999911e+00 -1.728577708184649564e-01
1.097499954000000066e+01 1.237499954000000102e+01 1.399999999999999911e+00 -1.728587021521658662e-01
1.096308093000000028e+01 1.236308092999999886e+01 1.400000000000000133e+00 -1.728596366555521235e-01
1.095116232000000167e+01 1.235116232000000203e+01 1.399999999999999911e+00 -1.728605743040546316e-01
1.093924371000000129e+01 1.233924371000000164e+01 1.399999999999999911e+00 -1.728615150725197336e-01
1.092732509999999913e+01 1.232732509999999948e+01 1.399999999999999911e+00 -1.728624589352004415e-01
1.091540649000000052e+01 1.231540649000000087e+01 1.399999999999999911e+00 -1.728634058657475547e-01
1.090348788000000191e+01 1.230348788000000226e+01 1.400000000000000133e+00 -1.728643558372005562e-01
1.089156927000000152e+01 1.229156927000000010e+01 1.399999999999999911e+00 -1.728653088219784528e-01
1.087965065999999936e+01 1.227965065999999794e+01 1.399999999999999911e+00 -1.728662647918704776e-01
1.086773205000000075e+01 1.226773205000000111e+01 1.399999999999999911e+00 -1.728672237180266802e-01
1.085581344000000215e+01 1.225581344000000250e+01 1.399999999999999911e+00 -1.728681855709483517e-01
1.084389482999999998e+01 1.224389483000000034e+01 1.400000000000000133e+00 -1.728691503204783098e-01
1.083197621999999960e+01 1.223197621999999818e+01 1.399999999999999911e+00 -1.728701179357910456e-01
1.082005761000000099e+01 1.222005760999999957e+01 1.399999999999999911e+00 -1.728710883853827596e-01
1.080813900000000061e+01 1.220813900000000096e+01 1.399999999999999911e+00 -1.728720616370612306e-01
1.079622039000000022e+01 1.219622038999999880e+01 1.399999999999999911e+00 -1.728730376579355466e-01
1.078430177999999984e+01 1.218430178000000019e+01 1.399999999999999911e+00 -1.728740164144057234e-01
1.077238317000000123e+01 1.217238316999999981e+01 1.399999999999999911e+00 -1.728749978721520197e-01
1.076046456000000084e+01 1.216046456000000120e+01 1.399999999999999911e+00 -1.728759819961244171e-01
1.074854595000000046e+01 1.214854595000000081e+01 1.399999999999999911e+00 -1.728769687505315455e-01
1.073662734000000007e+01 1.213662734000000043e+01 1.399999999999999911e+00 -1.728779580988298037e-01
1.072470872999999969e+01 1.212470873000000005e+01 1.399999999999999911e+00 -1.728789500037121174e-01
1.071279012000000108e+01 1.211279012000000144e+01 1.399999999999999911e+00 -1.728799444270965879e-01
1.070087151000000070e+01 1.210087150999999928e+01 1.399999999999999911e+00 -1.728809413301150011e-01
1.068895290000000031e+01 1.208895289999999889e+01 1.399999999999999911e+00 -1.728819406731011976e-01
