# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.069515441410704959e+01 1.399999999999999911e+00 -1.728055869757287311e-01
1.198808138999999962e+01 1.068324776828121081e+01 1.399999999999999911e+00 -1.728060870654847259e-01
1.197616277999999923e+01 1.067134114916706089e+01 1.399999999999999911e+00 -1.728065842590537082e-01
1.196424417000000062e+01 1.065943455685410513e+01 1.399999999999999911e+00 -1.728070783758077489e-01
1.195232556000000024e+01 1.064752799143226092e+01 1.399999999999999911e+00 -1.728075692324121948e-01
1.194040694999999985e+01 1.063562145299183292e+01 1.399999999999999911e+00 -1.728080566427759313e-01
1.192848833999999947e+01 1.062371494162354857e+01 1.399999999999999911e+00 -1.728085404180271234e-01
1.191656973000000086e+01 1.061180845741853140e+01 1.399999999999999911e+00 -1.728090203664660041e-01
1.190465112000000047e+01 1.059990200046831177e+01 1.399999999999999911e+00 -1.728094962935337597e-01
1.189273250999999831e+01 1.058799557086483567e+01 1.399999999999999689e+00 -1.728099680017658457e-01
1.188081389999999971e+01 1.057608916870046833e+01 1.399999999999999911e+00 -1.728104352907643415e-01
1.186889529000000110e+01 1.056418279406798533e+01 1.399999999999999911e+00 -1.728108979571462422e-01
1.185697667999999894e+01 1.055227644706057433e+01 1.399999999999999911e+00 -1.728113557945110124e-01
1.184505806999999855e+01 1.054037012777185645e+01 1.399999999999999911e+00 -1.728118085933997850e-01
1.183313945999999994e+01 1.052846383629587024e+01 1.399999999999999689e+00 -1.728122561412445690e-01
1.182122085000000133e+01 1.051655757272708058e+01 1.399999999999999911e+00 -1.728126982223417707e-01
1.180930223999999917e+01 1.050465133716037336e+01 1.399999999999999911e+00 -1.728131346177974315e-01
1.179738362999999879e+01 1.049274512969107853e+01 1.399999999999999911e+00 -1.728135651266984874e-01
1.178546502000000018e+01 1.048083895041495062e+01 1.399999999999999911e+00 -1.728139898523438078e-01
1.177354640999999980e+01 1.046893279942817756e+01 1.399999999999999689e+00 -1.728144091315802211e-01
1.176162779999999941e+01 1.045702667682739317e+01 1.399999999999999911e+00 -1.728148233125472166e-01
1.174970918999999903e+01 1.044512058270965937e+01 1.399999999999999911e+00 -1.728152327492084028e-01
1.173779057999999864e+01 1.043321451717249815e+01 1.399999999999999911e+00 -1.728156378014123473e-01
1.172587197000000003e+01 1.042130848031386137e+01 1.399999999999999911e+00 -1.728160388349949950e-01
1.171395335999999965e+01 1.040940247223215387e+01 1.399999999999999689e+00 -1.728164362218354011e-01
1.170203474999999926e+01 1.039749649302623347e+01 1.399999999999999911e+00 -1.728168303399623962e-01
1.169011613999999888e+01 1.038559054279540739e+01 1.399999999999999911e+00 -1.728172215736297201e-01
1.167819753000000027e+01 1.037368462163944471e+01 1.399999999999999911e+00 -1.728176103134004549e-01
1.166627891999999989e+01 1.036177872965856217e+01 1.399999999999999911e+00 -1.728179969562307905e-01
1.165436030999999772e+01 1.034987286695344899e+01 1.399999999999999689e+00 -1.728183819055708892e-01
1.164244169999999912e+01 1.033796703362525093e+01 1.399999999999999911e+00 -1.728187655714395199e-01
1.163052309000000051e+01 1.032606122977558272e+01 1.399999999999999911e+00 -1.728191483705213416e-01
1.161860448000000012e+01 1.031415545550652446e+01 1.399999999999999689e+00 -1.728195307262571090e-01
1.160668586999999796e+01 1.030224971092063058e+01 1.399999999999999911e+00 -1.728199130689417606e-01
1.159476725999999935e+01 1.029034399612093509e+01 1.399999999999999689e+00 -1.728202958358076025e-01
1.158284865000000075e+01 1.027843831121093920e+01 1.399999999999999911e+00 -1.728206794711278083e-01
1.157093004000000036e+01 1.026653265629462730e+01 1.399999999999999911e+00 -1.728210644263104001e-01
1.155901142999999998e+01 1.025462703147647048e+01 1.399999999999999911e+00 -1.728214511599992509e-01
1.154709282000000137e+01 1.024272143686142300e+01 1.400000000000000133e+00 -1.728218401381678704e-01
1.153517421000000098e+01 1.023081587255492408e+01 1.399999999999999911e+00 -1.728222318342251818e-01
1.152325560000000060e+01 1.021891033866290854e+01 1.399999999999999911e+00 -1.728226267291150531e-01
1.151133699000000021e+01 1.020700483529180147e+01 1.399999999999999911e+00 -1.728230253114193260e-01
1.149941838000000160e+01 1.019509936254853244e+01 1.399999999999999911e+00 -1.728234280774645637e-01
1.148749976999999944e+01 1.018319392054051775e+01 1.400000000000000133e+00 -1.728238355366047418e-01
1.147558116000000084e+01 1.017128850937568885e+01 1.399999999999999911e+00 -1.728242482242024203e-01
1.146366255000000045e+01 1.015938312916247632e+01 1.399999999999999911e+00 -1.728246666879033056e-01
1.145174394000000007e+01 1.014747778000982237e+01 1.399999999999999911e+00 -1.728250914839472852e-01
1.143982532999999968e+01 1.013557246202717366e+01 1.399999999999999911e+00 -1.728255231772583000e-01
1.142790672000000107e+01 1.012366717532450444e+01 1.400000000000000133e+00 -1.728259623415704382e-01
1.141598811000000069e+01 1.011176192001229523e+01 1.399999999999999911e+00 -1.728264095595667960e-01
1.140406950000000030e+01 1.009985669620154880e+01 1.399999999999999911e+00 -1.728268654229710155e-01
