# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.310340006596752183e+01 1.399999999999999911e+00 -1.727545460141789446e-01
1.198808138999999962e+01 1.309150962204792634e+01 1.399999999999999911e+00 -1.727550205919687887e-01
1.197616277999999923e+01 1.307961922939952615e+01 1.399999999999999911e+00 -1.727554962075390499e-01
1.196424417000000062e+01 1.306772888816228040e+01 1.399999999999999911e+00 -1.727559728519809379e-01
1.195232556000000024e+01 1.305583859847665096e+01 1.399999999999999911e+00 -1.727564505162129949e-01
1.194040694999999985e+01 1.304394836048361306e+01 1.399999999999999911e+00 -1.727569291909791527e-01
1.192848833999999947e+01 1.303205817432466063e+01 1.399999999999999911e+00 -1.727574088668463737e-01
1.191656973000000086e+01 1.302016804014180096e+01 1.399999999999999911e+00 -1.727578895342034571e-01
1.190465112000000047e+01 1.300827795807755649e+01 1.399999999999999911e+00 -1.727583711832575974e-01
1.189273250999999831e+01 1.299638792827497191e+01 1.399999999999999689e+00 -1.727588538040351618e-01
1.188081389999999971e+01 1.298449795087762304e+01 1.399999999999999911e+00 -1.727593373866382620e-01
1.186889529000000110e+01 1.297260802602960261e+01 1.399999999999999911e+00 -1.727598219214273867e-01
1.185697667999999894e+01 1.296071815387552739e+01 1.399999999999999911e+00 -1.727603073986204163e-01
1.184505806999999855e+01 1.294882833456055948e+01 1.399999999999999911e+00 -1.727607938082538763e-01
1.183313945999999994e+01 1.293693856823038324e+01 1.399999999999999689e+00 -1.727612811401761095e-01
1.182122085000000133e+01 1.292504885503122303e+01 1.399999999999999911e+00 -1.727617693840496627e-01
1.180930223999999917e+01 1.291315919510983257e+01 1.399999999999999911e+00 -1.727622585293431823e-01
1.179738362999999879e+01 1.290126958861351802e+01 1.399999999999999911e+00 -1.727627485653346340e-01
1.178546502000000018e+01 1.288938003569012203e+01 1.399999999999999911e+00 -1.727632394811028649e-01
1.177354640999999980e+01 1.287749053648803077e+01 1.399999999999999689e+00 -1.727637312655313506e-01
1.176162779999999941e+01 1.286560109115618289e+01 1.399999999999999911e+00 -1.727642239073002295e-01
